Altium Designer Pick and Place Locations
C:\Users\eisk\OneDrive - Nordic Semiconductor\Documents\Nordic Projects\Student projects\Gameboy\GameBoy Link Cool\production_files\Pick Place for Gameboy Link panel.csv

========================================================================================================================
File Design Information:

Date:       06-05-24
Time:       16:05
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"Designator77","Comment","TopLayer","Fiducial","5.0000","84.0000","270",""
"Designator78","Comment","TopLayer","Fiducial","104.8000","5.0000","90",""
"Designator76","Comment","TopLayer","Fiducial","5.0000","5.0000","0",""
"P3","Pin Header 2x5, 1.27mm","TopLayer","HDR_2x5-SMD-1.27mm-K","20.4000","21.4000","180","Pin Header 2x5, 1.27mm (50mil), SMD, Keying Shroud"
"P2","Pin List 1x2","TopLayer","LIST_1x2-NC","20.4250","34.8300","90","Pin List 1x2, 2.54mm (100mil)"
"U2","BMI270","TopLayer","BMI270","21.9750","27.4125","0","6-axis, smart, low-power, inertial measurement unit"
"SW1","PB SW","TopLayer","Switch-PB-6.2x6.3mm-SMD","42.9000","26.6000","270","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.3x2.5mm"
"R2","1k","TopLayer","RESC1005X04L","22.4750","34.8000","90","Resistor, ±1%, 0.063W"
"P1","Pin List 1x6","TopLayer","LIST_1x6","31.7500","23.3000","180","Pin List 1x6, 2.54mm (100mil)"
"LD1","L0805G","TopLayer","LED_0805_G","22.5250","38.0750","90","LED, SMD, 0805, GREEN"
"J1","MM8130-2600","TopLayer","COAXIAL-SWF","44.2000","35.7000","90","Coaxial Connector with Switch"
"C23","1.2pF","TopLayer","CAPC1005X04L","46.2250","36.5250","90","Capacitor, NP0, ±0.1pF"
"C22","1.0µF","TopLayer","CAPC1005X04L","22.4000","25.5000","180","Capacitor, Ceramic, 1.0µF 10V X7S 0402,±10%"
"R1","2R2","TopLayer","RESC0603X03L_C","26.8000","39.2250","0","Resistor, ±1%, 0.05W"
"X1","32MHz","TopLayer","BT-XTAL_2016","39.5250","38.5544","90","XTAL SMD 2016, 32MHz, Cl=8pF, Tol: ±10ppm, Stab: ±15ppm"
"L1","2.2nH","TopLayer","INDC0603X03L_C","37.5249","35.6999","180","Inductor, 600mA, ±0.1nH, 120mOhm"
"C21","N.C.","TopLayer","CAPC0603X03L_C_NC","38.3750","36.2000","270","Not mounted"
"U1","nRF5340-QKAA","TopLayer","AQFN40P700X700X85_HS-99N","32.4000","34.7000","0","Multi-protocol Bluetooth Low Energy, IEEE 802.15.4, ANT and 2.4GHz proprietary system-on-chip"
"C12","100nF","TopLayer","CAPC0603X03L_C","34.4500","29.8250","270","Capacitor, X7S, 16V"
"C13","100nF","TopLayer","CAPC0603X03L_C","37.2000","34.5750","0","Capacitor, X7S, 16V"
"C9","100nF","TopLayer","CAPC0603X03L_C","26.3250","31.2250","180","Capacitor, X7S, 16V"
"C18","4.7µF","TopLayer","CAPC1608X06L","28.1000","40.7550","90","Capacitor, X7R, ±10%, 6.3V"
"L2","10µH","TopLayer","INDC1608X06L","35.3750","40.7750","180","Inductor, 80mA, ±10%"
"L4","10µH","TopLayer","INDC1608X06L","25.2250","34.7750","270","Inductor, 80mA, ±10%"
"C16","1.0µF","TopLayer","CAPC1005X04L","29.5500","40.5250","270","Capacitor, Ceramic, 1.0µF 10V X7S 0402,±10%"
"C5","1.0µF","TopLayer","CAPC1005X04L","32.1500","40.6550","0","Capacitor, Ceramic, 1.0µF 10V X7S 0402,±10%"
